observation_date,y,quarter,year
1966-01-01,14628,1,1966
1966-04-01,14627,2,1966
1966-07-01,14760,3,1966
1966-10-01,14885,4,1966
1967-01-01,15070,1,1967
1967-04-01,15151,2,1967
1967-07-01,15251,3,1967
1967-10-01,15318,4,1967
1968-01-01,15547,1,1968
1968-04-01,15770,2,1968
1968-07-01,15766,3,1968
1968-10-01,15831,4,1968
1969-01-01,15830,1,1969
1969-04-01,15968,2,1969
1969-07-01,16260,3,1969
1969-10-01,16339,4,1969
1970-01-01,16459,1,1970
1970-04-01,16601,2,1970
1970-07-01,16803,3,1970
1970-10-01,16703,4,1970
1971-01-01,16986,1,1971
1971-04-01,17184,2,1971
1971-07-01,17222,3,1971
1971-10-01,17369,4,1971
1972-01-01,17407,1,1972
1972-04-01,17543,2,1972
1972-07-01,17835,3,1972
1972-10-01,18493,4,1972
1973-01-01,18585,1,1973
1973-04-01,18691,2,1973
1973-07-01,18726,3,1973
1973-10-01,18885,4,1973
1974-01-01,18536,1,1974
1974-04-01,18324,2,1974
1974-07-01,18295,3,1974
1974-10-01,18225,4,1974
1975-01-01,18158,1,1975
1975-04-01,18956,2,1975
1975-07-01,18625,3,1975
1975-10-01,18719,4,1975
1976-01-01,18898,1,1976
1976-04-01,18956,2,1976
1976-07-01,19047,3,1976
1976-10-01,19109,4,1976
1977-01-01,19059,1,1977
1977-04-01,19250,2,1977
1977-07-01,19490,3,1977
1977-10-01,19810,4,1977
1978-01-01,19904,1,1978
1978-04-01,20050,2,1978
1978-07-01,20135,3,1978
1978-10-01,20235,4,1978
1979-01-01,20398,1,1979
1979-04-01,20169,2,1979
1979-07-01,20204,3,1979
1979-10-01,20230,4,1979
1980-01-01,20241,1,1980
1980-04-01,19892,2,1980
1980-07-01,20074,3,1980
1980-10-01,20413,4,1980
1981-01-01,20316,1,1981
1981-04-01,20266,2,1981
1981-07-01,20624,3,1981
1981-10-01,20611,4,1981
1982-01-01,20592,1,1982
1982-04-01,20665,2,1982
1982-07-01,20723,3,1982
1982-10-01,20765,4,1982
1983-01-01,20901,1,1983
1983-04-01,21006,2,1983
1983-07-01,21270,3,1983
1983-10-01,21678,4,1983
1984-01-01,22078,1,1984
1984-04-01,22400,2,1984
1984-07-01,22652,3,1984
1984-10-01,22783,4,1984
1985-01-01,22687,1,1985
1985-04-01,23075,2,1985
1985-07-01,22938,3,1985
1985-10-01,23144,4,1985
1986-01-01,23386,1,1986
1986-04-01,23647,2,1986
1986-07-01,23755,3,1986
1986-10-01,23741,4,1986
1987-01-01,23890,1,1987
1987-04-01,23609,2,1987
1987-07-01,23978,3,1987
1987-10-01,24239,4,1987
1988-01-01,24543,1,1988
1988-04-01,24744,2,1988
1988-07-01,24917,3,1988
1988-10-01,25095,4,1988
1989-01-01,25354,1,1989
1989-04-01,25222,2,1989
1989-07-01,25325,3,1989
1989-10-01,25459,4,1989
1990-01-01,25615,1,1990
1990-04-01,25688,2,1990
1990-07-01,25607,3,1990
1990-10-01,25315,4,1990
1991-01-01,25290,1,1991
1991-04-01,25384,2,1991
1991-07-01,25386,3,1991
1991-10-01,25516,4,1991
1992-01-01,25987,1,1992
1992-04-01,26171,2,1992
1992-07-01,26189,3,1992
1992-10-01,26188,4,1992
1993-01-01,26258,1,1993
1993-04-01,26224,2,1993
1993-07-01,26150,3,1993
1993-10-01,26238,4,1993
1994-01-01,26351,1,1994
1994-04-01,26552,2,1994
1994-07-01,26624,3,1994
1994-10-01,26912,4,1994
1995-01-01,27096,1,1995
1995-04-01,27080,2,1995
1995-07-01,27235,3,1995
1995-10-01,27308,4,1995
1996-01-01,27501,1,1996
1996-04-01,27685,2,1996
1996-07-01,27815,3,1996
1996-10-01,27871,4,1996
1997-01-01,28077,1,1997
1997-04-01,28236,2,1997
1997-07-01,28477,3,1997
1997-10-01,28796,4,1997
1998-01-01,29334,1,1998
1998-04-01,29662,2,1998
1998-07-01,29871,3,1998
1998-10-01,30023,4,1998
1999-01-01,30216,1,1999
1999-04-01,30208,2,1999
1999-07-01,30314,3,1999
1999-10-01,30668,4,1999
2000-01-01,31192,1,2000
2000-04-01,31438,2,2000
2000-07-01,31719,3,2000
2000-10-01,31742,4,2000
2001-01-01,31940,1,2001
2001-04-01,31836,2,2001
2001-07-01,32504,3,2001
2001-10-01,32020,4,2001
2002-01-01,32728,1,2002
2002-04-01,32821,2,2002
2002-07-01,32696,3,2002
2002-10-01,32773,4,2002
2003-01-01,32796,1,2003
2003-04-01,33197,2,2003
2003-07-01,33657,3,2003
2003-10-01,33713,4,2003
2004-01-01,33893,1,2004
2004-04-01,34152,2,2004
2004-07-01,34247,3,2004
2004-10-01,34589,4,2004
2005-01-01,34183,1,2005
2005-04-01,34380,2,2005
2005-07-01,34469,3,2005
2005-10-01,34666,4,2005
2006-01-01,35380,1,2006
2006-04-01,35354,2,2006
2006-07-01,35363,3,2006
2006-10-01,35734,4,2006
2007-01-01,35889,1,2007
2007-04-01,35878,2,2007
2007-07-01,35880,3,2007
2007-10-01,35819,4,2007
2008-01-01,35998,1,2008
2008-04-01,36677,2,2008
2008-07-01,35747,3,2008
2008-10-01,35892,4,2008
2009-01-01,35752,1,2009
2009-04-01,35932,2,2009
2009-07-01,35456,3,2009
2009-10-01,35328,4,2009
2010-01-01,35293,1,2010
2010-04-01,35686,2,2010
2010-07-01,35792,3,2010
2010-10-01,35969,4,2010
2011-01-01,36348,1,2011
2011-04-01,36230,2,2011
2011-07-01,36349,3,2011
2011-10-01,36300,4,2011
2012-01-01,36833,1,2012
2012-04-01,37055,2,2012
2012-07-01,36963,3,2012
2012-10-01,37859,4,2012
2013-01-01,36224,1,2013
2013-04-01,36378,2,2013
2013-07-01,36518,3,2013
2013-10-01,36523,4,2013
2014-01-01,36851,1,2014
2014-04-01,37262,2,2014
2014-07-01,37573,3,2014
2014-10-01,38041,4,2014
2015-01-01,38378,1,2015
2015-04-01,38677,2,2015
2015-07-01,38775,3,2015
2015-10-01,38977,4,2015
2016-01-01,38934,1,2016
2016-04-01,39054,2,2016
2016-07-01,39045,3,2016
2016-10-01,38790,4,2016
2017-01-01,39004,1,2017
2017-04-01,39202,2,2017
2017-07-01,39178,3,2017
2017-10-01,39213,4,2017
